Bit Width,Algorithm,Execution Time,CPU Usage,Memory Usage
64,Barrett,1.3400014722719789e-05,13.6,26.125
64,Montgomery,1.2599979527294636e-05,17.0,26.1328125
64,Barrett,7.199996616691351e-06,16.8,26.140625
64,Montgomery,5.199981387704611e-06,14.3,26.15234375
64,Barrett,6.099988240748644e-06,14.5,26.1640625
64,Montgomery,4.0000013541430235e-06,16.0,26.1640625
64,Barrett,6.799993570894003e-06,13.5,26.1640625
64,Montgomery,4.1000021155923605e-06,15.6,26.16796875
64,Barrett,6.599992047995329e-06,14.8,26.171875
64,Montgomery,4.3000036384910345e-06,14.2,26.171875
64,Barrett,7.299997378140688e-06,14.7,26.171875
64,Montgomery,5.1000097300857306e-06,20.6,26.171875
64,Barrett,6.099988240748644e-06,20.9,26.171875
64,Montgomery,4.4000043999403715e-06,20.7,26.171875
64,Barrett,5.3000112529844046e-06,22.7,26.171875
64,Montgomery,3.7999998312443495e-06,34.0,26.171875
64,Barrett,6.900023436173797e-06,30.8,26.171875
64,Montgomery,4.399975296109915e-06,28.8,26.171875
64,Barrett,8.100003469735384e-06,30.4,26.171875
64,Montgomery,5.700014298781753e-06,28.1,26.171875
64,Barrett,6.400019628927112e-06,38.0,26.171875
64,Montgomery,4.2000028770416975e-06,29.9,26.171875
64,Barrett,8.300004992634058e-06,29.4,26.171875
64,Montgomery,5.399982910603285e-06,23.0,26.171875
64,Barrett,6.89999433234334e-06,23.4,26.171875
64,Montgomery,4.1000021155923605e-06,22.5,26.171875
64,Barrett,7.299997378140688e-06,23.7,26.171875
64,Montgomery,5.199981387704611e-06,31.0,26.171875
64,Barrett,7.800001185387373e-06,29.0,26.17578125
64,Montgomery,4.9000082071870565e-06,32.9,26.17578125
64,Barrett,8.200004231184721e-06,30.7,26.17578125
64,Montgomery,5.299982149153948e-06,28.3,26.17578125
64,Barrett,5.999987479299307e-06,27.0,26.17578125
64,Montgomery,5.0000089686363935e-06,27.7,26.17578125
64,Barrett,5.4000120144337416e-06,25.1,26.17578125
64,Montgomery,4.1000021155923605e-06,20.2,26.17578125
64,Barrett,8.000002708286047e-06,18.0,26.20703125
64,Montgomery,4.7000066842883825e-06,14.6,26.20703125
64,Barrett,6.000016583129764e-06,14.4,26.20703125
64,Montgomery,7.199996616691351e-06,14.0,26.20703125
64,Barrett,6.599992047995329e-06,16.0,26.20703125
64,Montgomery,4.3000036384910345e-06,13.8,26.20703125
64,Barrett,6.200018106028438e-06,13.9,26.20703125
64,Montgomery,4.1000021155923605e-06,15.2,26.20703125
64,Barrett,6.999995093792677e-06,15.2,26.20703125
64,Montgomery,4.8999791033566e-06,16.1,26.20703125
64,Barrett,6.499991286545992e-06,13.6,26.2109375
64,Montgomery,5.299982149153948e-06,14.7,26.2109375
64,Barrett,8.600007276982069e-06,15.1,26.21484375
64,Montgomery,4.799978341907263e-06,15.5,26.21484375
64,Barrett,7.399998139590025e-06,14.9,26.21484375
