Bit Width,Algorithm,Execution Time,CPU Usage,Memory Usage
64,Barrett,1.23E-05,14.3,26.22265625
64,Montgomery,1.02E-05,15.6,26.234375
64,Barrett,6.60E-06,17.5,26.2421875
64,Montgomery,5.20E-06,13.4,26.24609375
64,Barrett,5.80E-06,16.4,26.26171875
64,Montgomery,4.20E-06,13.4,26.265625
64,Barrett,6.10E-06,13.6,26.26953125
64,Montgomery,4.00E-06,13.6,26.2734375
64,Barrett,5.30E-06,13.6,26.2734375
64,Montgomery,4.10E-06,15.2,26.27734375
64,Barrett,6.00E-06,13.4,26.27734375
64,Montgomery,4.10E-06,14.3,26.27734375
64,Barrett,7.00E-06,14.6,26.27734375
64,Montgomery,5.50E-06,14.6,26.27734375
64,Barrett,8.10E-06,13.4,26.27734375
64,Montgomery,5.30E-06,16.5,26.27734375
64,Barrett,1.03E-05,13.9,26.27734375
64,Montgomery,6.20E-06,14.5,26.27734375
64,Barrett,5.20E-06,13.3,26.28125
64,Montgomery,3.80E-06,14,26.28125
64,Barrett,6.50E-06,14.4,26.28125
64,Montgomery,4.30E-06,14,26.28125
64,Barrett,6.10E-06,13.4,26.28125
64,Montgomery,4.00E-06,13.6,26.28125
64,Barrett,6.50E-06,13.3,26.28125
64,Montgomery,4.20E-06,16.5,26.28125
64,Barrett,8.40E-06,14.3,26.28125
64,Montgomery,4.90E-06,13.8,26.28125
64,Barrett,5.80E-06,15.9,26.28125
64,Montgomery,3.40E-06,14.7,26.28125
64,Barrett,5.90E-06,13.9,26.28125
64,Montgomery,3.90E-06,15.1,26.28125
64,Barrett,5.60E-06,14.1,26.28125
64,Montgomery,3.30E-06,14.2,26.28125
64,Barrett,6.30E-06,13.5,26.28515625
64,Montgomery,4.20E-06,14,26.28515625
64,Barrett,4.80E-06,17.1,26.28515625
64,Montgomery,4.40E-06,14.6,26.28515625
64,Barrett,5.10E-06,13.8,26.3125
64,Montgomery,4.00E-06,13.3,26.3125
64,Barrett,6.00E-06,14.1,26.31640625
64,Montgomery,4.30E-06,17.1,26.31640625
64,Barrett,5.70E-06,14.4,26.31640625
64,Montgomery,3.80E-06,13.5,26.31640625
64,Barrett,5.40E-06,13.8,26.31640625
64,Montgomery,4.10E-06,14.4,26.31640625
64,Barrett,5.10E-06,17.9,26.31640625
64,Montgomery,3.90E-06,16.3,26.31640625
64,Barrett,5.50E-06,14.7,26.31640625
64,Montgomery,4.20E-06,13.9,26.31640625
64,Barrett,6.40E-06,14.5,26.31640625
64,Montgomery,3.70E-06,15.9,26.3203125
64,Barrett,1.57E-05,14.1,26.3203125
64,Montgomery,4.80E-06,16.1,26.3203125
64,Barrett,4.80E-06,13.2,26.3203125
64,Montgomery,3.80E-06,13.9,26.3203125
64,Barrett,6.90E-06,13.5,26.3203125
64,Montgomery,3.90E-06,17.1,26.3203125
64,Barrett,6.80E-06,14.6,26.3203125
64,Montgomery,4.70E-06,14.2,26.3203125
64,Barrett,5.00E-06,13.6,26.3203125
64,Montgomery,3.80E-06,14.1,26.3203125
64,Barrett,1.25E-05,13.9,26.3203125
64,Montgomery,6.70E-06,14.8,26.3203125
64,Barrett,6.30E-06,13.3,26.3203125
64,Montgomery,4.30E-06,14.3,26.3203125
64,Barrett,5.70E-06,13.8,26.3203125
64,Montgomery,3.80E-06,16.4,26.3203125
64,Barrett,5.90E-06,17.9,26.3203125
64,Montgomery,4.20E-06,15,26.3203125
64,Barrett,5.90E-06,13.9,26.3203125
64,Montgomery,4.00E-06,14.5,26.3203125
64,Barrett,5.50E-06,14,26.3203125
64,Montgomery,4.00E-06,20,26.3203125
64,Barrett,6.40E-06,14,26.3203125
64,Montgomery,4.00E-06,13.7,26.3203125
64,Barrett,5.30E-06,13.8,26.3203125
64,Montgomery,4.00E-06,15.6,26.26953125
64,Barrett,2.94E-05,13.5,26.26953125
64,Montgomery,1.55E-05,16.1,26.26953125
64,Barrett,1.12E-05,18.3,26.26953125
64,Montgomery,6.70E-06,13.8,26.26953125
64,Barrett,5.30E-06,14.5,26.2734375
64,Montgomery,3.70E-06,14,26.2734375
64,Barrett,6.80E-06,15,26.27734375
64,Montgomery,3.80E-06,14.2,26.27734375
64,Barrett,5.80E-06,13.9,26.27734375
64,Montgomery,3.90E-06,13.3,26.27734375
64,Barrett,6.00E-06,14,26.27734375
64,Montgomery,4.00E-06,15.5,26.27734375
64,Barrett,6.70E-06,13.8,26.27734375
64,Montgomery,3.60E-06,13.3,26.27734375
64,Barrett,5.80E-06,15,26.27734375
64,Montgomery,5.80E-06,15.1,26.27734375
64,Barrett,5.70E-06,16.9,26.27734375
64,Montgomery,4.60E-06,13.4,26.27734375
64,Barrett,5.90E-06,14.6,26.27734375
64,Montgomery,3.80E-06,14.4,26.27734375
64,Barrett,6.40E-06,14.7,26.27734375
64,Montgomery,4.00E-06,14.3,26.27734375
64,Barrett,6.60E-06,14.8,26.27734375
64,Montgomery,4.00E-06,13.1,26.27734375
64,Barrett,6.00E-06,13.9,26.27734375
64,Montgomery,3.90E-06,14,26.27734375
64,Barrett,6.80E-06,13.8,26.27734375
64,Montgomery,4.00E-06,15.6,26.27734375
64,Barrett,6.10E-06,16.7,26.27734375
64,Montgomery,4.00E-06,14.9,26.27734375
64,Barrett,6.10E-06,14.1,26.27734375
64,Montgomery,3.70E-06,14,26.27734375
64,Barrett,5.50E-06,16.7,26.27734375
64,Montgomery,4.20E-06,13.9,26.27734375
64,Barrett,5.30E-06,14.3,26.27734375
64,Montgomery,3.60E-06,16.6,26.27734375
64,Barrett,5.60E-06,14,26.27734375
64,Montgomery,4.00E-06,15.8,26.27734375
64,Barrett,9.80E-06,14,26.27734375
64,Montgomery,5.60E-06,15.8,26.27734375
64,Barrett,6.20E-06,13,26.27734375
64,Montgomery,4.70E-06,15.2,26.27734375
64,Barrett,5.00E-06,14,26.27734375
64,Montgomery,3.50E-06,15,26.27734375
64,Barrett,6.50E-06,14.5,26.27734375
64,Montgomery,4.00E-06,13.5,26.27734375
64,Barrett,6.40E-06,15.2,26.28125
64,Montgomery,4.30E-06,13.7,26.28125
64,Barrett,5.70E-06,15.2,26.28125
64,Montgomery,3.70E-06,13.9,26.28125
64,Barrett,5.70E-06,13.7,26.28125
64,Montgomery,4.00E-06,13.6,26.28125
64,Barrett,6.20E-06,13.7,26.28125
64,Montgomery,3.80E-06,17.3,26.28125
64,Barrett,5.50E-06,14.4,26.28125
