Bit Width (bits),Algorithm,Execution Time (ms),CPU Usage (%),Memory Usage (MiB)
64,Barrett,0.013400014722719789,13.6,26.125
64,Montgomery,0.012599979527294636,17.0,26.1328125
64,Barrett,0.007199996616691351,16.8,26.140625
64,Montgomery,0.005199981387704611,14.3,26.15234375
64,Barrett,0.006099988240748644,14.5,26.1640625
64,Montgomery,0.004000001354143024,16.0,26.1640625
64,Barrett,0.006799993570894003,13.5,26.1640625
64,Montgomery,0.0041000021155923605,15.6,26.16796875
64,Barrett,0.006599992047995329,14.8,26.171875
64,Montgomery,0.0043000036384910345,14.2,26.171875
64,Barrett,0.007299997378140688,14.7,26.171875
64,Montgomery,0.0051000097300857306,20.6,26.171875
64,Barrett,0.006099988240748644,20.9,26.171875
64,Montgomery,0.004400004399940372,20.7,26.171875
64,Barrett,0.0053000112529844046,22.7,26.171875
64,Montgomery,0.0037999998312443495,34.0,26.171875
64,Barrett,0.006900023436173797,30.8,26.171875
64,Montgomery,0.004399975296109915,28.8,26.171875
64,Barrett,0.008100003469735384,30.4,26.171875
64,Montgomery,0.005700014298781753,28.1,26.171875
64,Barrett,0.006400019628927112,38.0,26.171875
64,Montgomery,0.0042000028770416975,29.9,26.171875
64,Barrett,0.008300004992634058,29.4,26.171875
64,Montgomery,0.005399982910603285,23.0,26.171875
64,Barrett,0.00689999433234334,23.4,26.171875
64,Montgomery,0.0041000021155923605,22.5,26.171875
64,Barrett,0.007299997378140688,23.7,26.171875
64,Montgomery,0.005199981387704611,31.0,26.171875
64,Barrett,0.007800001185387373,29.0,26.17578125
64,Montgomery,0.0049000082071870565,32.9,26.17578125
64,Barrett,0.008200004231184721,30.7,26.17578125
64,Montgomery,0.005299982149153948,28.3,26.17578125
64,Barrett,0.005999987479299307,27.0,26.17578125
64,Montgomery,0.0050000089686363935,27.7,26.17578125
64,Barrett,0.005400012014433742,25.1,26.17578125
64,Montgomery,0.0041000021155923605,20.2,26.17578125
64,Barrett,0.008000002708286047,18.0,26.20703125
64,Montgomery,0.004700006684288383,14.6,26.20703125
64,Barrett,0.006000016583129764,14.4,26.20703125
64,Montgomery,0.007199996616691351,14.0,26.20703125
64,Barrett,0.006599992047995329,16.0,26.20703125
64,Montgomery,0.0043000036384910345,13.8,26.20703125
64,Barrett,0.006200018106028438,13.9,26.20703125
64,Montgomery,0.0041000021155923605,15.2,26.20703125
64,Barrett,0.006999995093792677,15.2,26.20703125
64,Montgomery,0.0048999791033566,16.1,26.20703125
64,Barrett,0.006499991286545992,13.6,26.2109375
64,Montgomery,0.005299982149153948,14.7,26.2109375
64,Barrett,0.008600007276982069,15.1,26.21484375
64,Montgomery,0.004799978341907263,15.5,26.21484375
64,Barrett,0.007399998139590025,14.9,26.21484375
64,Montgomery,0.005799985956400633,16.1,26.21484375
64,Barrett,0.007299997378140688,13.8,26.21484375
64,Montgomery,0.013400014722719789,14.7,26.21484375
64,Barrett,0.006100017344579101,13.2,26.21484375
64,Montgomery,0.004000001354143024,14.0,26.21484375
64,Barrett,0.006000016583129764,16.0,26.21484375
64,Montgomery,0.0043000036384910345,16.7,26.21484375
64,Barrett,0.005599984433501959,14.3,26.21484375
64,Montgomery,0.0041000021155923605,14.7,26.21484375
64,Barrett,0.006499991286545992,14.3,26.21484375
64,Montgomery,0.0042000028770416975,18.8,26.21484375
64,Barrett,0.006300018867477775,16.0,26.21484375
64,Montgomery,0.003699999069795013,16.5,26.21484375
64,Barrett,0.006299989763647318,13.7,26.21484375
64,Montgomery,0.0041000021155923605,14.9,26.21484375
64,Barrett,0.005699985194951296,14.9,26.21484375
64,Montgomery,0.0046000059228390455,14.3,26.21484375
64,Barrett,0.006199989002197981,14.3,26.21484375
64,Montgomery,0.0041000021155923605,15.9,26.21484375
64,Barrett,0.007599999662488699,15.1,26.21484375
64,Montgomery,0.004799978341907263,16.1,26.21484375
64,Barrett,0.0051000097300857306,13.2,26.21484375
64,Montgomery,0.0039000005926936874,14.3,26.21484375
64,Barrett,0.006599992047995329,13.3,26.1640625
64,Montgomery,0.004400004399940372,13.7,26.1640625
64,Barrett,0.006600021151825786,14.6,26.1640625
64,Montgomery,0.0043000036384910345,17.3,26.1640625
64,Barrett,0.006000016583129764,14.9,26.1640625
64,Montgomery,0.004399975296109915,13.5,26.1640625
64,Barrett,0.005700014298781753,13.8,26.1640625
64,Montgomery,0.0039000005926936874,15.3,26.1640625
64,Barrett,0.005900015821680427,18.4,26.1640625
64,Montgomery,0.003700028173625469,14.0,26.1640625
64,Barrett,0.006499991286545992,13.9,26.1640625
64,Montgomery,0.0039000005926936874,14.3,26.1640625
64,Barrett,0.005900015821680427,15.5,26.1640625
64,Montgomery,0.0042000028770416975,16.9,26.16796875
64,Barrett,0.006500020390376449,14.9,26.16796875
64,Montgomery,0.0045000051613897085,14.8,26.16796875
64,Barrett,0.0051000097300857306,16.8,26.16796875
64,Montgomery,0.0037999998312443495,19.5,26.16796875
64,Barrett,0.00689999433234334,27.2,26.16796875
64,Montgomery,0.0042000028770416975,23.4,26.16796875
64,Barrett,0.014899997040629389,26.8,26.16796875
64,Montgomery,0.007199996616691351,33.1,26.16796875
64,Barrett,0.006599992047995329,33.8,26.16796875
64,Montgomery,0.0045000051613897085,32.1,26.16796875
64,Barrett,0.006999995093792677,32.8,26.171875
64,Montgomery,0.005799985956400633,32.3,26.171875
64,Barrett,0.014399993233382702,32.0,26.171875
64,Montgomery,0.009000010322779417,34.1,26.171875
64,Barrett,0.005699985194951296,32.0,26.171875
64,Montgomery,0.0039000005926936874,29.0,26.171875
64,Barrett,0.005700014298781753,34.8,26.171875
64,Montgomery,0.0046000059228390455,40.1,26.171875
64,Barrett,0.005600013537332416,32.1,26.171875
64,Montgomery,0.004299974534660578,28.7,26.171875
64,Barrett,0.006600021151825786,29.7,26.171875
64,Montgomery,0.004699977580457926,34.7,26.171875
64,Barrett,0.020400009816512465,48.1,26.171875
64,Montgomery,0.006499991286545992,32.8,26.171875
64,Barrett,0.006200018106028438,30.6,26.171875
64,Montgomery,0.0037999998312443495,27.3,26.171875
64,Barrett,0.008000002708286047,31.2,26.171875
64,Montgomery,0.004700006684288383,30.1,26.171875
64,Barrett,0.007299997378140688,32.0,26.171875
64,Montgomery,0.0046000059228390455,32.6,26.171875
64,Barrett,0.006599992047995329,29.8,26.171875
64,Montgomery,0.004400004399940372,36.9,26.171875
64,Barrett,0.007499998901039362,33.3,26.171875
64,Montgomery,0.004799978341907263,29.9,26.171875
64,Barrett,0.006599992047995329,26.6,26.171875
64,Montgomery,0.004400004399940372,28.4,26.171875
64,Barrett,0.00689999433234334,38.0,26.171875
64,Montgomery,0.006199989002197981,31.1,26.171875
64,Barrett,0.007099995855242014,31.3,26.171875
64,Montgomery,0.0050000089686363935,31.1,26.171875
64,Barrett,0.006499991286545992,24.4,26.171875
64,Montgomery,0.0053000112529844046,33.8,26.171875
64,Barrett,0.00899998121894896,25.7,26.17578125
64,Montgomery,0.006400019628927112,19.5,26.17578125
64,Barrett,0.005900015821680427,19.6,26.17578125
64,Montgomery,0.0045000051613897085,14.5,26.17578125
64,Barrett,0.0055000127758830794,14.2,26.17578125
64,Montgomery,0.003699999069795013,16.2,26.17578125
64,Barrett,0.006599992047995329,15.5,26.17578125
64,Montgomery,0.0042000028770416975,18.8,26.17578125
64,Barrett,0.006299989763647318,16.8,26.17578125
64,Montgomery,0.0035999983083456755,15.2,26.17578125
64,Barrett,0.00689999433234334,15.7,26.17578125
64,Montgomery,0.0046000059228390455,15.5,26.17578125
64,Barrett,0.005699985194951296,18.0,26.17578125
64,Montgomery,0.0041000021155923605,20.3,26.17578125
64,Barrett,0.007099995855242014,18.3,26.17578125
64,Montgomery,0.0050000089686363935,15.5,26.17578125
64,Barrett,0.006999995093792677,16.0,26.17578125
64,Montgomery,0.0053000112529844046,16.1,26.17578125
64,Barrett,0.006599992047995329,15.8,26.1796875
64,Montgomery,0.0045000051613897085,16.4,26.1796875
64,Barrett,0.006199989002197981,15.0,26.1796875
64,Montgomery,0.0041000021155923605,16.7,26.1796875
64,Barrett,0.009800016414374111,17.1,26.1796875
64,Montgomery,0.006199989002197981,13.7,26.1796875
64,Barrett,0.006199989002197981,14.2,26.1796875
64,Montgomery,0.0046000059228390455,15.8,26.1796875
64,Barrett,0.007199996616691351,14.8,26.1796875
64,Montgomery,0.0045000051613897085,16.6,26.1796875
64,Barrett,0.006199989002197981,14.2,26.15625
64,Montgomery,0.0055000127758830794,14.3,26.15625
64,Barrett,0.006700021913275123,13.8,26.15625
64,Montgomery,0.0051000097300857306,13.6,26.15625
64,Barrett,0.006000016583129764,15.1,26.15625
64,Montgomery,0.0039000005926936874,16.4,26.15625
64,Barrett,0.005700014298781753,13.9,26.15625
64,Montgomery,0.003699999069795013,15.1,26.15625
64,Barrett,0.006299989763647318,14.1,26.15625
64,Montgomery,0.004000001354143024,15.2,26.15625
64,Barrett,0.00589998671784997,15.6,26.15625
64,Montgomery,0.0043000036384910345,15.8,26.15625
64,Barrett,0.007199996616691351,13.9,26.15625
64,Montgomery,0.005299982149153948,13.9,26.15625
64,Barrett,0.005999987479299307,14.3,26.16015625
64,Montgomery,0.0043000036384910345,15.6,26.16015625
64,Barrett,0.006699992809444666,13.6,26.16015625
64,Montgomery,0.0045000051613897085,15.0,26.16015625
64,Barrett,0.00580001506023109,16.2,26.16015625
64,Montgomery,0.0039000005926936874,13.9,26.16015625
64,Barrett,0.00689999433234334,15.8,26.16015625
64,Montgomery,0.0055000127758830794,15.7,26.16015625
64,Barrett,0.005700014298781753,14.9,26.16015625
64,Montgomery,0.0037999998312443495,13.9,26.16015625
64,Barrett,0.006199989002197981,14.3,26.16015625
64,Montgomery,0.0045000051613897085,14.2,26.16015625
64,Barrett,0.006499991286545992,16.0,26.16015625
64,Montgomery,0.0046000059228390455,14.1,26.16015625
64,Barrett,0.005700014298781753,13.7,26.16015625
64,Montgomery,0.004400004399940372,14.7,26.16015625
64,Barrett,0.006799993570894003,14.4,26.16015625
64,Montgomery,0.0045000051613897085,19.0,26.16015625
64,Barrett,0.006099988240748644,14.4,26.16015625
64,Montgomery,0.0042000028770416975,12.7,26.16015625
64,Barrett,0.006200018106028438,14.0,26.16015625
64,Montgomery,0.004400004399940372,14.6,26.16015625
64,Barrett,0.005299982149153948,14.4,26.16015625
64,Montgomery,0.0039000005926936874,16.5,26.16015625
64,Barrett,0.006099988240748644,14.5,26.16015625
64,Montgomery,0.003699999069795013,13.6,26.16015625
64,Barrett,0.006399990525096655,13.9,26.16015625
64,Montgomery,0.0037999998312443495,14.2,26.16015625
256,Barrett,0.006400019628927112,17.1,26.19140625
256,Montgomery,0.005999987479299307,14.6,26.19140625
256,Barrett,0.007399998139590025,14.8,26.19140625
256,Montgomery,0.005200010491535068,13.8,26.19140625
256,Barrett,0.008100003469735384,14.5,26.19140625
256,Montgomery,0.0046000059228390455,15.2,26.19140625
256,Barrett,0.008400005754083395,15.9,26.19140625
256,Montgomery,0.004700006684288383,13.7,26.19140625
256,Barrett,0.006999995093792677,13.6,26.19140625
256,Montgomery,0.004400004399940372,14.2,26.19140625
256,Barrett,0.007899972843006253,16.6,26.19140625
256,Montgomery,0.0042000028770416975,13.5,26.19140625
256,Barrett,0.006599992047995329,14.8,26.19140625
256,Montgomery,0.0039000005926936874,13.1,26.19140625
256,Barrett,0.007599999662488699,16.0,26.19140625
256,Montgomery,0.0045000051613897085,14.6,26.19140625
256,Barrett,0.007099995855242014,16.2,26.19140625
256,Montgomery,0.0045000051613897085,13.8,26.19140625
256,Barrett,0.007199996616691351,13.9,26.1953125
256,Montgomery,0.0046000059228390455,13.9,26.1953125
256,Barrett,0.007300026481971145,13.7,26.1953125
256,Montgomery,0.004699977580457926,16.6,26.1953125
256,Barrett,0.018499995348975062,14.0,26.1953125
256,Montgomery,0.004700006684288383,14.1,26.1953125
256,Barrett,0.008000002708286047,13.1,26.1953125
256,Montgomery,0.00480000744573772,14.3,26.1953125
256,Barrett,0.008599978173151612,15.1,26.1953125
256,Montgomery,0.0049000082071870565,17.1,26.1953125
256,Barrett,0.00790000194683671,14.9,26.1953125
256,Montgomery,0.005200010491535068,15.2,26.1953125
256,Barrett,0.008600007276982069,13.6,26.1953125
256,Montgomery,0.005099980626255274,14.2,26.1953125
256,Barrett,0.008000002708286047,17.6,26.1953125
256,Montgomery,0.0049000082071870565,14.3,26.1953125
256,Barrett,0.008199975127354264,13.6,26.1953125
256,Montgomery,0.0050000089686363935,16.1,26.1953125
256,Barrett,0.008800008799880743,13.8,26.1953125
256,Montgomery,0.005200010491535068,16.1,26.1953125
256,Barrett,0.008100003469735384,14.7,26.1953125
256,Montgomery,0.005099980626255274,14.2,26.1953125
256,Barrett,0.007299997378140688,15.0,26.1953125
256,Montgomery,0.004400004399940372,16.8,26.1953125
256,Barrett,0.008500006515532732,15.2,26.1953125
256,Montgomery,0.00480000744573772,15.3,26.1953125
256,Barrett,0.006799993570894003,14.3,26.1953125
256,Montgomery,0.0043000036384910345,14.6,26.1953125
256,Barrett,0.00790000194683671,14.5,26.1953125
256,Montgomery,0.0053000112529844046,16.2,26.1953125
256,Barrett,0.007499998901039362,14.8,26.19921875
256,Montgomery,0.004699977580457926,15.2,26.19921875
256,Barrett,0.008400005754083395,15.4,26.19921875
256,Montgomery,0.0049000082071870565,14.6,26.19921875
256,Barrett,0.00799997360445559,14.2,26.19921875
256,Montgomery,0.0050000089686363935,17.1,26.19921875
256,Barrett,0.008200004231184721,15.4,26.19921875
256,Montgomery,0.004700006684288383,16.5,26.19921875
256,Barrett,0.007299997378140688,14.2,26.203125
256,Montgomery,0.004799978341907263,14.2,26.203125
256,Barrett,0.00790000194683671,16.9,26.203125
256,Montgomery,0.004399975296109915,15.3,26.203125
256,Barrett,0.007199996616691351,13.9,26.203125
256,Montgomery,0.0051000097300857306,13.5,26.203125
256,Barrett,0.009800016414374111,13.1,26.203125
256,Montgomery,0.00589998671784997,13.6,26.203125
256,Barrett,0.006999995093792677,16.2,26.203125
256,Montgomery,0.0041000021155923605,13.9,26.203125
256,Barrett,0.008299975888803601,14.1,26.203125
256,Montgomery,0.0050000089686363935,15.3,26.203125
256,Barrett,0.007599999662488699,14.4,26.203125
256,Montgomery,0.0046000059228390455,14.3,26.203125
256,Barrett,0.011299998732283711,15.9,26.203125
256,Montgomery,0.006999995093792677,14.7,26.203125
256,Barrett,0.007100024959072471,13.7,26.203125
256,Montgomery,0.004799978341907263,14.0,26.203125
256,Barrett,0.006000016583129764,13.5,26.203125
256,Montgomery,0.004400004399940372,16.7,26.203125
256,Barrett,0.00799997360445559,14.1,26.203125
256,Montgomery,0.0053000112529844046,14.9,26.203125
256,Barrett,0.006699992809444666,14.8,26.203125
256,Montgomery,0.004400004399940372,14.4,26.203125
256,Barrett,0.008599978173151612,15.9,26.203125
256,Montgomery,0.00480000744573772,15.8,26.203125
256,Barrett,0.007599999662488699,14.2,26.203125
256,Montgomery,0.00589998671784997,13.7,26.28125
256,Barrett,0.00689999433234334,14.3,26.28515625
256,Montgomery,0.0046000059228390455,13.4,26.29296875
256,Barrett,0.00790000194683671,16.3,26.296875
256,Montgomery,0.005200010491535068,14.3,26.296875
256,Barrett,0.007099995855242014,14.0,26.296875
256,Montgomery,0.0050000089686363935,13.6,26.296875
256,Barrett,0.006699992809444666,14.2,26.296875
256,Montgomery,0.0042000028770416975,15.5,26.296875
256,Barrett,0.007199996616691351,14.5,26.296875
256,Montgomery,0.0045000051613897085,16.3,26.296875
256,Barrett,0.010600022505968807,13.3,26.296875
256,Montgomery,0.005599984433501959,14.4,26.296875
256,Barrett,0.008600007276982069,19.0,26.296875
256,Montgomery,0.0049000082071870565,19.5,26.296875
256,Barrett,0.0109999964479357,13.7,26.30078125
256,Montgomery,0.010399991879239678,13.9,26.3046875
256,Barrett,0.007099995855242014,12.9,26.3046875
256,Montgomery,0.0050000089686363935,15.6,26.36328125
256,Barrett,0.008199975127354264,13.8,26.36328125
256,Montgomery,0.0046000059228390455,14.1,26.36328125
256,Barrett,0.007599999662488699,16.2,26.36328125
256,Montgomery,0.0045000051613897085,14.5,26.36328125
256,Barrett,0.013200013199821116,14.9,26.44140625
256,Montgomery,0.02400000812485814,15.4,26.4609375
256,Barrett,0.006799993570894003,14.2,26.4609375
256,Montgomery,0.0041000021155923605,16.2,26.4609375
256,Barrett,0.008500006515532732,13.6,26.4609375
256,Montgomery,0.0049000082071870565,14.1,26.4609375
256,Barrett,0.008300004992634058,15.4,26.4609375
256,Montgomery,0.004999979864805937,15.9,26.4609375
256,Barrett,0.006799993570894003,13.6,26.4609375
256,Montgomery,0.004700006684288383,13.7,26.4609375
256,Barrett,0.007599999662488699,14.1,26.4609375
256,Montgomery,0.0045000051613897085,19.3,26.4609375
256,Barrett,0.007899972843006253,15.3,26.4609375
256,Montgomery,0.0049000082071870565,13.8,26.4609375
256,Barrett,0.00790000194683671,13.3,26.4609375
256,Montgomery,0.005199981387704611,15.7,26.4609375
256,Barrett,0.007199996616691351,18.9,26.4609375
256,Montgomery,0.00480000744573772,14.1,26.4609375
256,Barrett,0.007300026481971145,21.2,26.4609375
256,Montgomery,0.004599976819008589,22.3,26.4609375
256,Barrett,0.010899995686486363,20.5,26.4609375
256,Montgomery,0.006599992047995329,23.4,26.4609375
256,Barrett,0.008600007276982069,21.3,26.4609375
256,Montgomery,0.005099980626255274,15.0,26.4609375
256,Barrett,0.011900003300979732,14.4,26.4609375
256,Montgomery,0.006699992809444666,14.5,26.4609375
256,Barrett,0.006699992809444666,14.0,26.4609375
256,Montgomery,0.0041000021155923605,16.4,26.4609375
256,Barrett,0.007299997378140688,14.1,26.4609375
256,Montgomery,0.004400004399940372,13.6,26.4609375
256,Barrett,0.007199996616691351,13.7,26.4609375
256,Montgomery,0.0043000036384910345,16.4,26.4609375
256,Barrett,0.008400005754083395,15.5,26.4609375
256,Montgomery,0.00480000744573772,13.3,26.4609375
256,Barrett,0.007399998139590025,15.5,26.4609375
256,Montgomery,0.004400004399940372,14.5,26.4609375
256,Barrett,0.006599992047995329,20.9,26.46484375
256,Montgomery,0.0043000036384910345,21.7,26.46484375
256,Barrett,0.008400005754083395,23.0,26.46484375
256,Montgomery,0.0053000112529844046,24.4,26.46484375
256,Barrett,0.008400005754083395,33.4,26.46484375
256,Montgomery,0.004700006684288383,29.2,26.46484375
256,Barrett,0.00999998883344233,30.9,26.46484375
256,Montgomery,0.0046000059228390455,31.5,26.46484375
256,Barrett,0.007800001185387373,30.0,26.46875
256,Montgomery,0.005200010491535068,27.0,26.46875
256,Barrett,0.008600007276982069,33.5,26.46875
256,Montgomery,0.0051000097300857306,34.2,26.46875
256,Barrett,0.008100003469735384,26.9,26.46875
256,Montgomery,0.0045000051613897085,25.1,26.46875
256,Barrett,0.007499998901039362,21.7,26.46875
256,Montgomery,0.004400004399940372,19.9,26.46875
256,Barrett,0.007199996616691351,31.7,26.46875
256,Montgomery,0.0045000051613897085,27.8,26.46875
256,Barrett,0.009799987310543656,31.8,26.46875
256,Montgomery,0.005900015821680427,29.5,26.46875
256,Barrett,0.012599979527294636,28.6,26.46875
256,Montgomery,0.006599992047995329,25.7,26.46875
256,Barrett,0.008700008038431406,26.9,26.46875
256,Montgomery,0.005299982149153948,23.5,26.46875
256,Barrett,0.007199996616691351,25.7,26.46875
256,Montgomery,0.004400004399940372,17.3,26.46875
256,Barrett,0.007800001185387373,21.7,26.46875
256,Montgomery,0.0046000059228390455,14.6,26.5
256,Barrett,0.007099995855242014,15.3,26.5
256,Montgomery,0.0041000021155923605,16.9,26.5
256,Barrett,0.008500006515532732,14.1,26.5
256,Montgomery,0.004799978341907263,17.3,26.5
256,Barrett,0.007700000423938036,15.7,26.5
256,Montgomery,0.0050000089686363935,14.4,26.5
256,Barrett,0.008700008038431406,15.8,26.5
256,Montgomery,0.005099980626255274,13.7,26.5
256,Barrett,0.008199975127354264,14.4,26.5
256,Montgomery,0.005600013537332416,15.9,26.5
256,Barrett,0.007499998901039362,14.5,26.5
256,Montgomery,0.00480000744573772,17.2,26.5
256,Barrett,0.007000024197623134,14.6,26.5
256,Montgomery,0.004399975296109915,15.9,26.5
256,Barrett,0.00790000194683671,16.5,26.5
256,Montgomery,0.005199981387704611,14.2,26.5
256,Barrett,0.007800001185387373,14.6,26.5
256,Montgomery,0.00480000744573772,13.5,26.50390625
256,Barrett,0.008300004992634058,14.6,26.50390625
256,Montgomery,0.004700006684288383,16.1,26.50390625
256,Barrett,0.007299997378140688,15.1,26.50390625
256,Montgomery,0.004400004399940372,13.5,26.50390625
256,Barrett,0.007800001185387373,13.5,26.50390625
256,Montgomery,0.0049000082071870565,14.2,26.50390625
256,Barrett,0.007800001185387373,17.9,26.5078125
256,Montgomery,0.0053000112529844046,14.6,26.5078125
256,Barrett,0.008299975888803601,14.4,26.5078125
256,Montgomery,0.0051000097300857306,16.2,26.5078125
256,Barrett,0.007099995855242014,15.1,26.5078125
256,Montgomery,0.004499976057559252,16.8,26.5078125
512,Barrett,0.005699985194951296,14.8,26.5078125
512,Montgomery,0.007499998901039362,14.0,26.5078125
512,Barrett,0.007499998901039362,14.5,26.51171875
512,Montgomery,0.008500006515532732,14.2,26.51171875
512,Barrett,0.008300004992634058,13.4,26.51171875
512,Montgomery,0.006000016583129764,17.9,26.51171875
512,Barrett,0.008100003469735384,13.8,26.51171875
512,Montgomery,0.0055000127758830794,16.1,26.51171875
512,Barrett,0.007599999662488699,15.0,26.51171875
512,Montgomery,0.0050000089686363935,13.8,26.51171875
512,Barrett,0.008000002708286047,15.3,26.51171875
512,Montgomery,0.0055000127758830794,15.9,26.51171875
512,Barrett,0.007599999662488699,14.5,26.51171875
512,Montgomery,0.0055000127758830794,13.7,26.51171875
512,Barrett,0.007499998901039362,14.1,26.51171875
512,Montgomery,0.006299989763647318,16.0,26.51171875
512,Barrett,0.008000002708286047,13.8,26.51171875
512,Montgomery,0.0053000112529844046,14.6,26.51171875
512,Barrett,0.00689999433234334,13.7,26.51171875
512,Montgomery,0.005199981387704611,15.2,26.51171875
512,Barrett,0.008499977411702275,15.2,26.51171875
512,Montgomery,0.006000016583129764,13.2,26.51171875
512,Barrett,0.007799972081556916,14.3,26.51171875
512,Montgomery,0.006100017344579101,13.8,26.51171875
512,Barrett,0.006999995093792677,13.9,26.51171875
512,Montgomery,0.004999979864805937,15.2,26.51171875
512,Barrett,0.007599999662488699,13.6,26.515625
512,Montgomery,0.005599984433501959,14.1,26.515625
512,Barrett,0.01270000939257443,14.2,26.515625
512,Montgomery,0.008100003469735384,14.4,26.515625
512,Barrett,0.008200004231184721,16.4,26.515625
